Processing molecule: formaldehyde
Running with beta = 8
Running with l = 60
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
Iter 1: V_size = 32, Converged = 0, ‖r‖ (largest λ) = 44.648751310431436
Iter 2: V_size = 64, Converged = 0, ‖r‖ (largest λ) = 29.631669466799888
Iter 3: V_size = 124, Converged = 0, ‖r‖ (largest λ) = 21.19109417929311
Iter 4: V_size = 120, Converged = 0, ‖r‖ (largest λ) = 0.8112863850145101
Iter 5: V_size = 120, Converged = 0, ‖r‖ (largest λ) = 0.2642926702632518
EV   1 converged λ = -735.4153437081, ‖r‖ = 1.92e-12, stable for 3 iters
EV   2 converged λ = -611.6773615864, ‖r‖ = 5.09e-12, stable for 3 iters
EV   3 converged λ = -594.7742412739, ‖r‖ = 4.61e-12, stable for 3 iters
Iter 6: V_size = 114, Converged = 3, ‖r‖ (largest λ) = 0.05793499550074754
Iter 7: V_size = 114, Converged = 3, ‖r‖ (largest λ) = 0.033698954927939236
Iter 8: V_size = 114, Converged = 3, ‖r‖ (largest λ) = 0.016646635812185732
EV   4 converged λ = -178.9518495502, ‖r‖ = 1.76e-15, stable for 3 iters
EV   5 converged λ = -167.9280307310, ‖r‖ = 4.37e-15, stable for 3 iters
EV   6 converged λ = -139.8613654990, ‖r‖ = 4.09e-14, stable for 3 iters
EV   7 converged λ = -134.6090002247, ‖r‖ = 4.13e-14, stable for 3 iters
EV   8 converged λ = -131.6601989757, ‖r‖ = 2.25e-14, stable for 3 iters
EV   9 converged λ = -89.1246093928, ‖r‖ = 3.12e-13, stable for 3 iters
EV  10 converged λ = -85.0975968389, ‖r‖ = 3.94e-13, stable for 3 iters
EV  11 converged λ = -63.1374088909, ‖r‖ = 6.30e-12, stable for 3 iters
EV  12 converged λ = -46.3616597076, ‖r‖ = 8.83e-11, stable for 3 iters
EV  13 converged λ = -45.8340340820, ‖r‖ = 1.22e-10, stable for 3 iters
EV  14 converged λ = -45.3851815451, ‖r‖ = 1.42e-10, stable for 3 iters
EV  15 converged λ = -36.3324001585, ‖r‖ = 8.14e-10, stable for 3 iters
EV  16 converged λ = -31.1572242298, ‖r‖ = 2.15e-09, stable for 3 iters
EV  17 converged λ = -27.4351946096, ‖r‖ = 1.59e-08, stable for 3 iters
EV  18 converged λ = -25.6627957975, ‖r‖ = 4.61e-08, stable for 3 iters
EV  19 converged λ = -24.7580637576, ‖r‖ = 1.51e-08, stable for 3 iters
EV  20 converged λ = -19.9884918895, ‖r‖ = 1.15e-07, stable for 3 iters
EV  21 converged λ = -19.4865336759, ‖r‖ = 9.89e-08, stable for 3 iters
EV  22 converged λ = -18.1142002056, ‖r‖ = 2.31e-07, stable for 3 iters
EV  23 converged λ = -17.2609173949, ‖r‖ = 1.04e-06, stable for 3 iters
EV  24 converged λ = -16.3526879910, ‖r‖ = 1.65e-07, stable for 3 iters
EV  25 converged λ = -16.2829937153, ‖r‖ = 5.80e-07, stable for 3 iters
EV  26 converged λ = -16.1152499782, ‖r‖ = 3.39e-07, stable for 3 iters
EV  27 converged λ = -15.4658967762, ‖r‖ = 1.93e-06, stable for 3 iters
EV  28 converged λ = -14.3190661648, ‖r‖ = 1.94e-06, stable for 3 iters
EV  29 converged λ = -13.7222574537, ‖r‖ = 2.06e-06, stable for 3 iters
EV  30 converged λ = -13.6825129287, ‖r‖ = 1.33e-06, stable for 3 iters
EV  31 converged λ = -13.5269622006, ‖r‖ = 1.40e-06, stable for 3 iters
EV  32 converged λ = -12.8445327967, ‖r‖ = 1.84e-06, stable for 3 iters
EV  33 converged λ = -12.7590433133, ‖r‖ = 3.16e-06, stable for 3 iters
EV  34 converged λ = -11.9681742751, ‖r‖ = 4.10e-06, stable for 3 iters
Iter 9: V_size = 52, Converged = 34, ‖r‖ (largest λ) = 0.01487470172661818
Iter 10: V_size = 78, Converged = 34, ‖r‖ (largest λ) = 0.008368347699979546
Iter 11: V_size = 104, Converged = 34, ‖r‖ (largest λ) = 0.006298671621038846
EV  35 converged λ = -11.8045444347, ‖r‖ = 1.21e-08, stable for 3 iters
EV  36 converged λ = -11.7043630519, ‖r‖ = 7.80e-09, stable for 3 iters
EV  37 converged λ = -9.8477604663, ‖r‖ = 1.44e-08, stable for 3 iters
EV  38 converged λ = -9.7475907440, ‖r‖ = 6.07e-09, stable for 3 iters
EV  39 converged λ = -9.6326196688, ‖r‖ = 3.06e-08, stable for 3 iters
EV  40 converged λ = -9.4947928788, ‖r‖ = 3.46e-08, stable for 3 iters
EV  41 converged λ = -9.4656609716, ‖r‖ = 9.44e-08, stable for 3 iters
EV  42 converged λ = -7.7273393554, ‖r‖ = 4.70e-07, stable for 3 iters
EV  43 converged λ = -6.8329402410, ‖r‖ = 2.22e-06, stable for 3 iters
EV  44 converged λ = -6.6283479163, ‖r‖ = 9.16e-07, stable for 3 iters
EV  45 converged λ = -6.5857751728, ‖r‖ = 1.92e-06, stable for 3 iters
EV  46 converged λ = -6.5384346764, ‖r‖ = 2.06e-06, stable for 3 iters
EV  47 converged λ = -6.2223720999, ‖r‖ = 2.30e-06, stable for 3 iters
Iter 12: V_size = 26, Converged = 47, ‖r‖ (largest λ) = 0.0013454426881905073
Iter 13: V_size = 39, Converged = 47, ‖r‖ (largest λ) = 0.00027250247088884434
Iter 14: V_size = 52, Converged = 47, ‖r‖ (largest λ) = 6.844743875580814e-5
EV  48 converged λ = -5.7891716333, ‖r‖ = 5.32e-08, stable for 3 iters
EV  49 converged λ = -5.7190116271, ‖r‖ = 6.91e-08, stable for 3 iters
EV  50 converged λ = -5.2281211943, ‖r‖ = 1.48e-07, stable for 3 iters
EV  51 converged λ = -5.0399288323, ‖r‖ = 5.10e-07, stable for 3 iters
EV  52 converged λ = -4.7875655256, ‖r‖ = 5.07e-07, stable for 3 iters
EV  53 converged λ = -4.7814412996, ‖r‖ = 3.17e-06, stable for 3 iters
EV  54 converged λ = -4.6652046288, ‖r‖ = 5.50e-07, stable for 3 iters
EV  55 converged λ = -4.6211801645, ‖r‖ = 5.88e-06, stable for 3 iters
EV  56 converged λ = -4.5200151772, ‖r‖ = 6.87e-06, stable for 3 iters
EV  57 converged λ = -4.4887209626, ‖r‖ = 1.06e-05, stable for 3 iters
EV  58 converged λ = -4.0016557945, ‖r‖ = 2.26e-05, stable for 3 iters
EV  59 converged λ = -3.8956051936, ‖r‖ = 4.36e-05, stable for 3 iters
Iter 15: V_size = 2, Converged = 59, ‖r‖ (largest λ) = 4.3560325358734254e-5
Iter 16: V_size = 3, Converged = 59, ‖r‖ (largest λ) = 7.741725842103748e-5
Iter 17: V_size = 4, Converged = 59, ‖r‖ (largest λ) = 6.0689759154708925e-5
EV  60 converged λ = -4.0926204523, ‖r‖ = 3.39e-05, stable for 3 iters
Converged all eigenvalues.
